region;inst_name;inst_type;province;location;designation
03 - Central Luzon;First City Providential College;Private;Bulacan;City of San Jose Del Monte;City
03 - Central Luzon;College of the Most Holy Trinity;Private;Bataan;Hermosa;Municipality
03 - Central Luzon;Academia de San Lorenzo Dema Ala;Private;Bulacan;City of San Jose Del Monte;City
03 - Central Luzon;Eduardo L. Joson Memorial College;LUC;Nueva Ecija;City of Palayan;City
03 - Central Luzon;The Manila Times College of Subic;Private;Zambales;City of Olongapo;City
03 - Central Luzon;St. Joseph College-Olongapo;Private;Zambales;City of Olongapo;City
03 - Central Luzon;Saint Mary's Angels College of Pampanga;Private;Pampanga;Santa Ana;Municipality
03 - Central Luzon;St. Nicolas College of Business and Technology;Private;Pampanga;City of San Fernando;City
03 - Central Luzon;Dr. Gloria D. Lacson Foundation Colleges-Cabanatuan City;Private;Nueva Ecija;City of Cabanatuan;City
03 - Central Luzon;College of Our Lady of Mt. Carmel (Pampanga);Private;Pampanga;City of San Fernando;City
03 - Central Luzon;Central Luzon College of Science and Technology-City of San Fernando (Pampanga);Private;Pampanga;City of San Fernando;City
03 - Central Luzon;Colegio de San Juan de Letran-Abucay;Private;Bataan;Abucay;Municipality
03 - Central Luzon;College of Subic Montessori-Subic Bay;Private;Zambales;City of Olongapo;City
03 - Central Luzon;STI College-Baliuag;Private;Bulacan;City of Baliwag;City
03 - Central Luzon;ACLC College of Meycauayan;Private;Bulacan;City of Meycauayan;City
03 - Central Luzon;Colegio De Calumpit;Private;Bulacan;Calumpit;Municipality
03 - Central Luzon;Gerona Junior College;Private;Tarlac;Gerona;Municipality
03 - Central Luzon;Holy Rosary Colleges Foundation;Private;Nueva Ecija;San Isidro;Municipality
03 - Central Luzon;Our Lady of Manaoag Montessori College;Private;Bulacan;Balagtas;Municipality
03 - Central Luzon;Philippine Rehabilitation Institute Foundation-Guagua;Private;Pampanga;Guagua;Municipality
03 - Central Luzon;Subic Bay Colleges;Private;Zambales;City of Olongapo;City
03 - Central Luzon;Megabyte College of Science and Technology-Florida;Private;Pampanga;Floridablanca;Municipality
03 - Central Luzon;Bataan Peninsula State University-Balanga;SUC;Bataan;City of Balanga;City
03 - Central Luzon;Bulacan Agricultural State College-Doña Remedios Trinidad;SUC;Bulacan;  Doña  Remedios Trinidad;Municipality
03 - Central Luzon;Philippine Women`s University Career Development and Continuing Education Center-Bataan;Private;Bataan;City of Balanga;City
03 - Central Luzon;Centro Colegio De Tarlac;Private;Tarlac;Bamban;Municipality
03 - Central Luzon;Philippine Women`s University Career Development and Continuing Education Center - Tarlac;Private;Tarlac;City of Tarlac;City
03 - Central Luzon;La Verdad Christian College;Private;Pampanga;Apalit;Municipality
